# Категория|Продукт|Базова мярка|Предлагани разфасовки
Други подправки|Галета|кг|1 кг
Други подправки|Панировка фина златна|кг|1 кг
Други подправки|Панко|кг|500 г
Други подправки|Джинджифил смлян|кг|100 г / 500 г
Други подправки|Картофено пюре|кг|500 г
Други подправки|Корнфлейкс натурален|кг|500 г
Други подправки|Корнфлейкс натрошен|кг|750 г
Други подправки|Корнфлейкс шоколадови топчета|кг|500 г
Други подправки|Лимонена киселина|кг|500 г
Други подправки|Желатин|кг|100 г / 500 г
Други подправки|Сода|кг|500 г / 1 кг
Други подправки|Нишесте царевично натурално|кг|500 г
Други подправки|Овесени ядки|кг|1 кг
Други подправки|Овесени трици|кг|500 г
Други подправки|Брашно ленено|кг|500 г
Други подправки|Брашно от лимец|кг|500 г
Други подправки|Брашно сусамово|кг|500 г
Други подправки|Хуск гурме|кг|100 г / 500 г
Други подправки|Хуск смлян гурме|кг|200 г / 500 г
Други подправки|Хуск смлян|кг|100 г / 500 г
Други подправки|Сумак|кг|100 г / 500 г
Други подправки|Шафран|бр|1 г
Други подправки|Хималайска сол едра|кг|500 г
Други подправки|Хималайска сол мляна|кг|500 г
Други подправки|Хималайска сол черна мляна|кг|500 г
Други подправки|Царевица за пуканки|кг|500 г

Сладки подправки|Ванилия шушулка|бр|1 бр
Сладки подправки|Ванилова захар|кг|100 г / 500 г
Сладки подправки|Кафява захар|кг|500 г
Сладки подправки|Печени кокосови стърготини|кг|100 г / 500 г
Сладки подправки|Кокосов чипс с вкус на ананас|кг|100 г / 500 г
Сладки подправки|Годжи бери|кг|100 г / 500 г
Сладки подправки|Какаови зърна|кг|100 г / 500 г
Сладки подправки|Какао смляно|кг|100 г / 500 г
Сладки подправки|Канела кори|кг|100 г / 500 г / 1 кг
Сладки подправки|Канела смляна|кг|100 г / 500 г / 1 кг
Сладки подправки|Канела цейлонска кори|кг|50 г / 500 г / 1 кг
Сладки подправки|Канела цейлонска смляна|кг|50 г / 500 г / 1 кг
Сладки подправки|Кардамон цял|кг|50 г / 500 г
Сладки подправки|Кардамон смлян|кг|50 г / 500 г

Сушени плодове|Кайсии оранжеви|кг|200 г / 500 г
Сушени плодове|Натурални кайсии|кг|200 г / 500 г
Сушени плодове|Стафида златна|кг|200 г / 500 г
Сушени плодове|Стафида тъмна|кг|200 г / 500 г
Сушени плодове|Сини сливи без костилка|кг|200 г / 500 г
Сушени плодове|Ананас кубче|кг|200 г / 500 г
Сушени плодове|Папая|кг|200 г / 500 г
Сушени плодове|Бананов чипс|кг|200 г / 500 г
Сушени плодове|Фурми без костилка|кг|200 г / 500 г
Сушени плодове|Боровинки червени|кг|500 г
Сушени плодове|Киви|кг|200 г / 500 г
Сушени плодове|Джинджифил сушен|кг|200 г / 500 г
Сушени плодове|Манго сушено|кг|200 г / 500 г
Сушени плодове|Череши сушени|кг|200 г / 500 г
Сушени плодове|Кокос кубче|кг|500 г
Сушени плодове|Пъпеш сушен|кг|200 г / 500 г
Сушени плодове|Смокини сушени|кг|200 г / 500 г

Ядки|Бразилска ядка|кг|500 г
Ядки|Кедрови ядки|кг|50 г / 500 г
Ядки|Лешник суров|кг|500 г
Ядки|Орехова ядка|кг|500 г
Ядки|Кашу сурово|кг|500 г
Ядки|Кашу печено|кг|500 г
Ядки|Макадамия|кг|100 г / 500 г
Ядки|Бадем суров|кг|500 г
Ядки|Бадем печен|кг|500 г
Ядки|Шам фъстък печен|кг|500 г
Ядки|Шам фъстък суров белен|кг|100 г / 500 г
Ядки|Бирен фъстък|кг|500 г
Ядки|Самурайски микс|кг|500 г
Ядки|Микс печени ядки|кг|500 г
Ядки|Микс сурови ядки|кг|500 г
Ядки|Царевица пържена|кг|200 г

